VENDOR,SUPPLIER CODE,ITEM CODE,SHORT DESCRIPTION,NOTES,NZ RRP EXCL,NZ DEALER EXCL
AVPro Edge,AC-BT15-AUHD-MP,AC-BT15-AUHD-MP,Bullet Train 15 Metre HDMI Cable (49.21FT) - 18Gbps Ultra High Speed Directional Cable Masterpack- QTY 10,,"$3,358","$2,350"
AVPro Edge,AC-BTJUMP-AUHD,AC-BTJUMP-AUHD,Bullet Train .5 (Half) Metre HDMI Jumper Cable (1.6FT) - 18Gbps Ultra High Speed,,$36,$25
AVPro Edge,AC-BTJUMP-AUHD-MP,AC-BTJUMP-AUHD-MP,Bullet Train .5 (Half) Metre HDMI Jumper Cable (1.6FT) - 18Gbps Ultra High Speed Masterpack- QTY 100,,"$3,395","$2,377"
AVPro Edge,AC-BTSSF-10KUHD-05,AC-BTSSF-10KUHD-05,"Bullet Train 5 Metre AOC HDMI Cable w/ 48Gbps Optics & Cleerline SSF Fiber Inside, CL2/3, Plenum, UL (16.40FT)",,$349,$244
AVPro Edge,AC-BTSSF-10KUHD-05-MP,AC-BTSSF-10KUHD-05-MP,"Bullet Train 5 Metre AOC HDMI Cable w/ 48Gbps Optics & Cleerline SSF Fiber Inside, CL2/3, Plenum, UL (16.40FT) Masterpack- QTY 10",,"$3,317","$2,322"
AVPro Edge,AC-BTSSF-10KUHD-10,AC-BTSSF-10KUHD-10,"Bullet Train 10 Metre AOC HDMI Cable w/ 48Gbps Optics & Cleerline SSF Fiber Inside, CL2/3, Plenum, UL (32.8FT)",,$428,$299
AVPro Edge,AC-BTSSF-10KUHD-10-MP,AC-BTSSF-10KUHD-10-MP,"Bullet Train 10 Metre AOC HDMI Cable w/ 48Gbps Optics & Cleerline SSF Fiber Inside, CL2/3, Plenum, UL (32.8FT) Masterpack- QTY 10",,"$4,062","$2,843"
AVPro Edge,AC-BTSSF-10KUHD-15,AC-BTSSF-10KUHD-15,"Bullet Train 15 Metre AOC HDMI Cable w/ 48Gbps Optics & Cleerline SSF Fiber Inside, CL2/3, Plenum, UL (49.2ft)",,$550,$385
AVPro Edge,AC-BTSSF-10KUHD-15-MP,AC-BTSSF-10KUHD-15-MP,"Bullet Train 15 Metre AOC HDMI Cable w/ 48Gbps Optics & Cleerline SSF Fiber Inside, CL2/3, Plenum, UL (49.2ft) Masterpack- QTY 10",,"$5,226","$3,658"
AVPro Edge,AC-BTSSF-10KUHD-20,AC-BTSSF-10KUHD-20,"Bullet Train 20 Metre AOC HDMI Cable w/ 48Gbps Optics & Cleerline SSF Fiber Inside, CL2/3, Plenum, UL (65.6ft)",,$611,$428
AVPro Edge,AC-BTSSF-10KUHD-20-MP,AC-BTSSF-10KUHD-20-MP,"Bullet Train 20 Metre AOC HDMI Cable w/ 48Gbps Optics & Cleerline SSF Fiber Inside, CL2/3, Plenum, UL (65.6ft) Masterpack- QTY 10",,"$5,803","$4,062"
AVPro Edge,AC-BTSSF-10KUHD-30,AC-BTSSF-10KUHD-30,"Bullet Train 30 Metre AOC HDMI Cable w/ 48Gbps Optics & Cleerline SSF Fiber Inside, CL2/3, Plenum, UL (98.4ft)",,$696,$487
AVPro Edge,AC-BTSSF-10KUHD-30-MP,AC-BTSSF-10KUHD-30-MP,"Bullet Train 30 Metre AOC HDMI Cable w/ 48Gbps Optics & Cleerline SSF Fiber Inside, CL2/3, Plenum, UL (98.4ft) Masterpack- QTY 10",,"$6,610","$4,627"
AVPro Edge,AC-BTSSF-10KUHD-40,AC-BTSSF-10KUHD-40,"Bullet Train 40 Metre AOC HDMI Cable w/ 48Gbps Optics & Cleerline SSF Fiber Inside, CL2/3, Plenum, UL (131.2ft)",,$768,$537
AVPro Edge,AC-BTSSF-10KUHD-40-MP,AC-BTSSF-10KUHD-40-MP,"Bullet Train 40 Metre AOC HDMI Cable w/ 48Gbps Optics & Cleerline SSF Fiber Inside, CL2/3, Plenum, UL (131.2ft) Masterpack- QTY 10",,"$7,293","$5,105"
AVPro Edge,AC-BTSSF-10KUHD-60,AC-BTSSF-10KUHD-60,"Bullet Train 60 Metre AOC HDMI Cable w/ 48Gbps Optics & Cleerline SSF Fiber Inside, CL2/3, Plenum, UL (196.85ft)",*Limited stock available*,$606,$424
