StockCode,Vendor,VendorStockCode,StockDescription,PrimaryCategory,SecondaryCategory,TertiaryCategory,RRPEx,DealerEx,StockAvailable,ETA,Status,Type,BundledItem1,BundledItem2,BundledItem3,BundledItem4,BundledItem5
01-SSC-1797,SONICWALL,01-SSC-1797,"CAPTURE ADVANCED THREAT PROTECTION FOR SUPERMASSIVE 9400 1YR NFR","NETWORKING","NFR","SUPERMASSIVE SERIES","6597.00","7040.00",0,TBA,A,StockedItem,,,,,
01-SSC-1798,SONICWALL,01-SSC-1798,"CAPTURE ADVANCED THREAT PROTECTION FOR SUPERMASSIVE 9600 1YR NFR","NETWORKING","NFR","SUPERMASSIVE SERIES","7539.00","8046.00",0,TBA,A,StockedItem,,,,,
01-SSC-1935,SONICWALL,01-SSC-1935,"CAPTURE ADVANCED THREAT PROTECTION FOR NSA 2650 1YR","NETWORKING",,"SOFTWARE","2968.00","2188.00",999999999,,A,StockedItem,,,,,
01-SSC-1937,SONICWALL,01-SSC-1937,"SONICWALL NSA 3650 APPLIANCE","NETWORKING",,"HARDWARE","9245.00","6815.00",0,TBA,A,StockedItem,,,,,
01-SSC-1970,SONICWALL,01-SSC-1970,"CONTENT FILTERING SERVICE PREMIUM BUSINESS EDITION FOR NSA 2650 1YR","NETWORKING",,"SOFTWARE","5966.00","4398.00",999999999,,A,StockedItem,,,,,
01-SSC-1976,SONICWALL,01-SSC-1976,"GATEWAY ANTI-MALWARE, INTRUSION PREVENTION AND APPLICATION CONTROL FOR NSA 2650 1YR","NETWORKING",,"SOFTWARE","4467.00","3293.00",999999999,,A,StockedItem,,,,,
01-SSC-2042,SONICWALL,01-SSC-2042,"CAPTURE ADVANCED THREAT PROTECTION FOR NSA 9650 1YR","NETWORKING",,"SOFTWARE","51431.00","37912.00",999999999,,A,StockedItem,,,,,
01-SSC-2050,SONICWALL,01-SSC-2050,"SONICWALL SECURITY HEALTH CHECK FOR TZ MODELS","NETWORKING","PROFESSIONAL SERVICE","SERVICE","346.00","369.00",0,TBA,A,StockedItem,,,,,
01-SSC-2052,SONICWALL,01-SSC-2052,"SONICWALL SECURITY HEALTH CHECK FOR NSSP MODELS","NETWORKING","PROFESSIONAL SERVICE","SERVICE","3487.00","3721.00",0,TBA,A,StockedItem,,,,,
01-SSC-2053,SONICWALL,01-SSC-2053,"SMA CMS POOLED PERPETUAL LICENSE 10 USER - REQUIRES SUPPORT","NETWORKING","SMA","LICENSING","1885.00","1389.00",0,TBA,A,StockedItem,,,,,
01-SSC-2054,SONICWALL,01-SSC-2054,"SMA CMS POOLED PERPETUAL LICENSE 50 USER - REQUIRES SUPPORT","NETWORKING","SMA","LICENSING","8377.00","6175.00",0,TBA,A,StockedItem,,,,,
01-SSC-2055,SONICWALL,01-SSC-2055,"SMA CMS POOLED PERPETUAL LICENSE 100 USER - REQUIRES SUPPORT","NETWORKING","SMA","LICENSING","16754.00","12350.00",0,TBA,A,StockedItem,,,,,
01-SSC-2056,SONICWALL,01-SSC-2056,"SMA CMS POOLED PERPETUAL LICENSE 250 USER - REQUIRES SUPPORT","NETWORKING","SMA","LICENSING","39791.00","29332.00",0,TBA,A,StockedItem,,,,,
01-SSC-2057,SONICWALL,01-SSC-2057,"SMA CMS POOLED PERPETUAL LICENSE 500 USER - REQUIRES SUPPORT","NETWORKING","SMA","LICENSING","64921.00","47857.00",0,TBA,A,StockedItem,,,,,
01-SSC-2058,SONICWALL,01-SSC-2058,"SMA CMS POOLED PERPETUAL LICENSE 1000 USER - REQUIRES SUPPORT","NETWORKING","SMA","LICENSING","104712.00","77189.00",0,TBA,A,StockedItem,,,,,
01-SSC-2059,SONICWALL,01-SSC-2059,"SMA CMS POOLED PERPETUAL LICENSE 2500 USER - REQUIRES SUPPORT","NETWORKING","SMA","LICENSING","207330.00","152834.00",0,TBA,A,StockedItem,,,,,
01-SSC-2060,SONICWALL,01-SSC-2060,"SMA CMS POOLED PERPETUAL LICENSE 5000 USER - REQUIRES SUPPORT","NETWORKING","SMA","LICENSING","251309.00","185253.00",0,TBA,A,StockedItem,,,,,
01-SSC-2061,SONICWALL,01-SSC-2061,"SMA CMS POOLED PERPETUAL LICENSE 10000 USER - REQUIRES SUPPORT","NETWORKING","SMA","LICENSING","418848.00","308756.00",0,TBA,A,StockedItem,,,,,
