Product_Code,Brand,Category,Product_Name,Description,Long_Description,Reseller_Buy,RRP,Images,Stock,Warranty,Average_Lead_Time
GEP-0823,LevelOne,Ethernet Switches,GEP-0823,8-Port Gigabit PoE Switch 802.3at/af PoE 8 PoE Outputs 120W,https://www.snappernet.co.nz/product/15225/GEP-0823,221.31,316,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/-0823-v1_vsam5zpr.cke.jpg,13,24,0
CSS610-8G-2S+IN,MikroTik,Ethernet Switches,CSS610-8G-2S+IN,10-port Managed Switch 8x GigE ports 2x SFP+ 10Gbps ports,https://www.snappernet.co.nz/product/52090/CSS610-8G-2S+IN,208.89,298,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/css610-8g-2sin_j1qmnqbv.obw.png,1,12,0
S20-BILLING,Yeastar,Software,S20-BILLING,Billing Application for S-20 IP PBX,https://www.snappernet.co.nz/product/8599/S20-BILLING,88.89,127,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/yeastar_636359753094216641.png,0,,0
RAM-8GDR3-LD-1600,QNAP,Spare Parts,RAM-8GDR3-LD-1600,8GB DDR3 RAM 1600 MHz long-DIMM,https://www.snappernet.co.nz/product/1521/RAM-8GDR3-LD-1600,375.94,537,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/RAM-8GDR3-LD-1600_636537801562368360.jpg,0,12,14
RBWAPG-5HACD2HND,MikroTik,Wireless,RBWAPG-5HACD2HND,Dual-band 2.4/5 GHz ac Wireless Access Point,https://www.snappernet.co.nz/product/53380/RBWAPG-5HACD2HND,151.11,216,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/rbwapg-5hacd2hnd-fro_w4ayaixl.30c.png,-1,12,0
170593-000,Cradlepoint,Cables/Accessories,170593-000,Replacement bracket for wall mounting inside cabinet etc,https://www.snappernet.co.nz/product/3058/170593-000,26,37,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/170593-000_636459050928226328.jpg,0,12,0
590001,Opengear,Cables/Accessories,590001,Rack Mount Kit (Ears & Screws),https://www.snappernet.co.nz/product/3139/590001,68.54,98,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/590001_636116993936482187.jpg,0,48,14
UACC-G4-DOME-ARM-MOUNT,Ubiquiti,Cables/Accessories,UACC-G4-DOME-ARM-MOUNT,UniFi G5 and G4 Dome Camera Arm Mount,,38.68,55,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/uacc-dm_4ajkrhdn.vbd.jpg,-1,12,0
C32SMARV-1SMARVJ,Panorama,Cables/Accessories,C32SMARV-1SMARVJ,RP-SMA-Male to RP-SMA-Female CS32 Extension Cable 1 meter,,30.27,43,,0,12,0
CM7148-2-SAC,Opengear,Monitoring/Management,CM7148-2-SAC,48 Serial Cisco Straight dual 10/100/1000 Ethernet single  ac power  4GB  flash  2 USB 2.0 ports FIPS140-2 Certified,https://www.snappernet.co.nz/product/3247/CM7148-2-SAC,4418.45,6312,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/CM7148-2-SAC_636053076553437569.png,0,48,14
C29SP-10SJ,Panorama,Cables/Accessories,C29SP-10SJ,10 metre SMA-Male to SMA-Female CS29 cable for cellular routers,https://www.snappernet.co.nz/product/14333/C29SP-10SJ,61.52,88,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/smax2_cm215jjx.q25.jpg,2,12,0
RB962UIGS-5HACT2HNT,MikroTik,Wireless,RB962UIGS-5HACT2HNT,hAP AC Wireless 5 Port Gigabit Router 802.11ac,https://www.snappernet.co.nz/product/2641/RB962UIGS-5HACT2HNT,221.87,317,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/RB962UiGS-5HacT2HnT_636068788994754063.png,0,12,0
UAP-AC-IW,Ubiquiti,Wireless,UAP-AC-IW,In-Wall Access Point 802.11ac 300+867Mbps 100mW,https://www.snappernet.co.nz/product/5168/UAP-AC-IW,149.9,214,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/IW_636268047166604141.png,1,12,0
RBCAPGI-5ACD2ND,MikroTik,Wireless,RBCAPGI-5ACD2ND,cAP ac Dual-band 2.4 / 5GHz Wireless Access Point Ceiling/Wall Mount,https://www.snappernet.co.nz/product/12367/RBCAPGI-5ACD2ND,147.33,210,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/RBCAPGI-5ACD2ND_636635339914839532.jpg,9,12,0
TS-H1886XU-RP-R2-D1622-32G,QNAP,Data Storage & NAS,TS-H1886XU-RP-R2-D1622-32G,18-Bay Rackmount NAS Intel Xeon D-1622 CPU 32G RAM,https://www.snappernet.co.nz/product/54515/TS-H1886XU-RP-R2-D1622-32G,5564.15,7949,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/ts-h1886xu-rp-r2-d16_rcyk1z2o.ooo.png,0,36,21
CAB-SAS10M-8644,QNAP,Spare Parts,CAB-SAS10M-8644,1m Mini SAS cable passive,https://www.snappernet.co.nz/product/2870/CAB-SAS10M-8644,185.46,265,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/CAB-SAS10M-8644_636053076481644387.jpg,0,12,0
C29SP-20SJ,Panorama,Cables/Accessories,C29SP-20SJ,20 meter SMA-Male to SMA-Female CS29 cable for cellular routers,,65.97,94,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/smax2kfw0t0qwfz3_pf0jmgxd.oeh.jpg,2,12,0
LBTH-5,AKCP,Monitoring/Management,LBTH-5,LoRa Wireless Sensor Dual Temperature and Humidity with 1.5m cable,https://www.snappernet.co.nz/product/16533/LBTH-5,304.5,435,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/lbth-overview-cable_ltjl1nrd.mt4.jpg,0,12,14
TB200,Yeastar,VoIP (Voice over IP),TB200,VoIP ISDN Gateway 2x BRI Basic Rate ISDN Ports (4 Channels),https://www.snappernet.co.nz/product/5075/TB200,390,557,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/bri-gateway-yeastar_636383925110147726.jpg,1,24,0
26599-989-899,Jabra,VoIP (Voice over IP),26599-989-899,Evolve2 65 Bluetooth (Wireless) Stereo Headset USB-C UC,,358.56,512,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/26599-989-899_punotooq.qt0.jpg,0,24,0
ER-8-XG,Ubiquiti,Routers,ER-8-XG,EdgeRouter Infinity 8-Port SFP+ 10GigE Router,https://www.snappernet.co.nz/product/12997/ER-8-XG,1552.55,2218,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/er-8-xg_636681089320325000.jpg,0,12,7
14207-57,Jabra,Cables/Accessories,14207-57,Wall Mount for PanaCast USB Video Conferencing Camera,https://www.snappernet.co.nz/product/26140/14207-57,37.49,54,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/14207-57_pzdjld4w.gwh.png,2,24,0
U-LTE-PRO,Ubiquiti,3G 4G LTE 5G,U-LTE-PRO,UniFi LTE Pro Managed 4G backup/failover for USG and UDM series,https://www.snappernet.co.nz/product/49842/U-LTE-PRO,553.33,790,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/u-lte-pro01_pxpjjchf.h0r.jpg,0,12,0
US-XG-6POE,Ubiquiti,Ethernet Switches,US-XG-6POE,UniFi 6-Port 10Gigabit Ethernet Switch 802.3bt,https://www.snappernet.co.nz/product/16441/US-XG-6POE,1100.44,1572,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/--6_ierrvhm0.5dq.png,1,12,5
QGD-1600P-8G,QNAP,Ethernet Switches,QGD-1600P-8G,Hybrid PoE switch/NAS that enables NVR router AP controller etc,https://www.snappernet.co.nz/product/18943/QGD-1600P-8G,1700.2,2429,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/qgd-1600ptop-left_1u4ujrpi.jjr.png,0,24,14
US-16-150W,Ubiquiti,Ethernet Switches,US-16-150W,UniFi Switch 16 Gigabit Ethernet Ports 24V / 802.3af / 802.3at PoE (150W max) 2 SFP Ports,https://www.snappernet.co.nz/product/1016/US-16-150W,523.07,747,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/US-16-150W_636053079081990911.png,0,12,0
GS728TX-100AJS,NETGEAR,Ethernet Switches,GS728TX-100AJS,24-port Gigabit Stackable Smart Switch 4x10G ports (2x RJ45 & 2x SFP+),https://www.snappernet.co.nz/product/1058/GS728TX-100AJS,886.46,1266,https://cdn.n2erp.co.nz/sna_7997037D-0128-4104-B866-3D126751B9E7/images/products/main/GS728TX-100AJS_636224831847650859.jpg,1,60,0
