Product Code,Name,Description,Main,Price,Brand,Category Code,Supplier Product Code,Bar Code,RRP
TL-WPA8631PKIT,TP-Link TL-WPA8631P KIT AV1300 Wi-Fi Passthrough Range Extender Powerline,TP-Link TL-WPA8631P KIT AV1300 Wi-Fi Passthrough Range Extender Powerline,0,248.3,TP-LINK,ACCESSORIES,TL-WPA8631P KIT,6935364072223,299.0
TL-WR1502X,"TP-Link TL-WR1502X, AX1500 Wi-Fi 6 Travel Router","TP-Link TL-WR1502X, AX1500 Wi-Fi 6 Travel Router",30,107.1,TP-LINK,NETWORKING - Wireless Router,TL-WR1502X,4895252503449,129.0
TL-WR1512X,"TP-Link TL-WR1512X, AX1500 Wi-Fi 6 Travel Router","TP-Link TL-WR1512X, AX1500 Wi-Fi 6 Travel Router",0,123.7,TP-LINK,NETWORKING - Wireless Router,TL-WR1512X,1210002604109,149.0
TL-WR3002X,TP LINK AX3000 Gigabit Wi-Fi 6 Portable Travel Router,TP LINK AX3000 Gigabit Wi-Fi 6 Portable Travel Router,20,148.6,TP-LINK,NETWORKING - Wireless Router,TL-WR3002X,1210002600811,179.0
TL-WR3602BE,"TP-Link TL-WR3602BE, BE3600 Wi-Fi 7 Travel Router","TP-Link TL-WR3602BE, BE3600 Wi-Fi 7 Travel Router",0,223.4,TP-LINK,NETWORKING - Wireless Router,TL-WR3602BE,1210002604116,269.0
TL-WR802N,TP-LINK 300Mbps Wireless N Nano Router,TP-LINK 300Mbps Wireless N Nano Router,0,37.4,TP-LINK,NETWORKING - Wireless Router,TL-WR802N,"6935364071714,1750502285",45.0
TL-WR902AC,TP-Link TL-WR902AC AC750 Wireless Travel Router,TP-Link TL-WR902AC AC750 Wireless Travel Router,0,49.0,TP-LINK,NETWORKING - Wireless Router,TL-WR902AC,"6935364095666,22042T9004169",59.0
TTE-DASHER-MINISLIM,TteSports by Thermaltake Dasher Mini Slim Mouse Pad,TteSports by Thermaltake Dasher Mini Slim Mouse Pad,13,13.1,THERMALTAKE,MICE - Mouse Pad,MP-DSM-BLKSMS-01,"4717964403254,841163063064",11.5
TTE-IRIS-RGB,Ttesports by Thermaltake Iris Optical RGB Gaming Mouse,Ttesports by Thermaltake Iris Optical RGB Gaming Mouse,33,49.1,THERMALTAKE,MICE - Wireless,MO-IRS-WDOHBK-01,"4711246872028,0841163002025",90.85
TTE-KB-CPR-EDGEPRO,TteSports by Thermaltake Challenger Edge Pro RGB Plunger - Black,TteSports by Thermaltake Challenger Edge Pro RGB Plunger - Black,1,105.1,THERMALTAKE,ACCESSORIES,KB-CPR-PLBRUS-01,"4711246870772,841163000779",105.6
TTE-MOTALON-ELITE,TteSports by Thermaltake TALON ELITE RGB Gaming Mouse,TteSports by Thermaltake TALON ELITE RGB Gaming Mouse,43,63.5,THERMALTAKE,MICE - Gaming,MO-TER-WDOTBK-01,4711246872660,79.35
UC-2000AAE,USB 2.0 Certified Extension A-A M-F Transparent Metal Sheath Cable 25cm,USB 2.0 Certified Extension A-A M-F Transparent Metal Sheath Cable 25cm,205,1.5,8WARE,CABLES - USB 2 Cables,UC-2000AAE,"UC-2000AAE,9341756008829",2.9
UC-2002AAE,USB 2.0 Extension Cable Type A to A M/F Transparent - 2m,USB 2.0 Extension Cable Type A to A M/F Transparent - 2m,218,2.9,8WARE,CABLES - USB 2 Cables,UC-2002AAE,9341756008874,8.0
UC-2005AB,USB 2.0 Certified Cable A-B 5m Black Metal Sheath UL Approved,USB 2.0 Certified Cable A-B 5m Black Metal Sheath UL Approved,146,3.0,8WARE,CABLES - USB 2 Cables,UC-2005AB,,6.9
UC-3001AC,8Ware USB 3.1 Cable Type A to C M/M - 1m,8Ware USB 3.1 Cable Type A to C M/M - 1m,24,6.7,8WARE,CABLES - USB3 Cables,UC-3001AC,9341756011904,9.9
UC-3001AUB,USB 3.0 Cable Type A to Micro-USB B M/M Blue - 1m,USB 3.0 Cable Type A to Micro-USB B M/M Blue - 1m,36,5.2,8WARE,CABLES - USB3 Cables,UC-3001AUB,9341756008393,12.9
UC-3001CC,8Ware USB 3.1 Cable Type C to C M/M - 1m,8Ware USB 3.1 Cable Type C to C M/M - 1m,149,5.5,8WARE,CABLES - USB3 Cables,UC-3001CC,"0754523500607,9341756011881,754523500607",9.9
UC-3002AUB,"USB 3.0 Certified Cable - USB A Male to Micro-USB B Male, Blue 2m","USB 3.0 Certified Cable - USB A Male to Micro-USB B Male, Blue 2m",33,5.45,8WARE,CABLES - USB3 Cables,UC-3002AUB,9341756008409,12.9
UC2-MINI2OEM,USB 2.0 A Male -Mini B cable 1m black (10pcs per unit),USB 2.0 A Male -Mini B cable 1m black (10pcs per unit),1,14.8,8WARE,CABLES - USB 2 Cables,UC2-MINI2OEM,9341756008997,23.79
VC-920,ATEN VC920 Mini DisplayPort to VGA adapter,ATEN VC920 Mini DisplayPort to VGA adapter,1,33.5,ATEN,KVM PRODUCTS - KVM,VC920-AT,672792003042,35.65
VC-925,Aten VanCryst DisplayPort (M) to VGA (F) Adapter,Aten VanCryst DisplayPort (M) to VGA (F) Adapter,2,34.6,ATEN,ADAPTORS / CONVERTERS,VC925-AT,4719264643699,36.8
VC-960,Aten VanCryst MiniDisplayPort Mini DisplayPort to DVI Adapter,Aten VanCryst MiniDisplayPort Mini DisplayPort to DVI Adapter,1,24.1,ATEN,KVM PRODUCTS - KVM,VC-960,4710423775237,25.67
VEN- CTRBG,Vention USB 2.0 A Male to 3-in-1 USB-C & Lightning & Micro-B Male 6A Cable Aluminum Alloy Type,Vention USB 2.0 A Male to 3-in-1 USB-C & Lightning & Micro-B Male 6A Cable Aluminum Alloy Type,0,11.79,Vention,CABLES - USB 2 Cables,CTRBG,,18.9
VEN-42154,Vention HDMI to VGA Converter 0.15M Black,Vention HDMI to VGA Converter 0.15M Black,0,9.99,Vention,CABLES - VGA/DVI/HDMI/DP,42154,6922794742154,15.9
VEN-AACBH,Vention HDMI Cable 2M Black,Vention HDMI Cable 2M Black,0,4.32,Vention,CABLES - VGA/DVI/HDMI/DP,AACBH,6922794732667,6.9
VEN-AACBI,Vention HDMI Cable 3M Black,Vention HDMI Cable 3M Black,0,5.67,Vention,CABLES - VGA/DVI/HDMI/DP,AACBI,6922794732674,9.9
VEN-AACBJ,Vention HDMI Cable 5M Black,Vention HDMI Cable 5M Black,0,7.47,Vention,CABLES - VGA/DVI/HDMI/DP,AACBJ,6922794732681,11.9
VEN-AACBL,Vention HDMI Cable 10M Black,Vention HDMI Cable 10M Black,39,13.68,Vention,CABLES - VGA/DVI/HDMI/DP,AACBL,6922794732704,21.9
VEN-AAMBL,Vention HDMI Cable 10M Black for Engineering,Vention HDMI Cable 10M Black for Engineering,0,33.84,Vention,CABLES - VGA/DVI/HDMI/DP,AAMBL,6922794754102,54.9
VEN-AANBH,Vention 8K HDMI Cable 2M Black,Vention 8K HDMI Cable 2M Black,0,10.62,Vention,CABLES - VGA/DVI/HDMI/DP,AANBH,6922794743502,16.9
VEN-AANBJ,Vention 8K HDMI Cable 5M Black,Vention 8K HDMI Cable 5M Black,8,20.79,Vention,CABLES - VGA/DVI/HDMI/DP,AANBJ,6922794755147,33.9
