Brand Text,Product Code,Description,UOM,Dealer Ex GST,Dealer Inc GST,RRP Inc GST,Indent Or Stocked,URL
ABB,AB-M21382K-A,ABB 2W OTDR VID STN WITH KP AL WITH IC CARD READER M21382K-A,EACH,"$1,850.43","$2,127.99","$3,040.00",S,https://amber.co.nz/abb-2w-otdr-vid-stn-with-kp-al-with-ic-card-reader-m21382k-a
ABB,AB-M22401-W,"4,3"" Video hands-free indoor station with Wifi M22401-W",EACH,$735.30,$845.60,"$1,208.00",S,https://amber.co.nz/4-3~-video-hands-free-indoor-station-with-wifi-m22401-w
ABB,AB-M2307,ABB WELCOME LIFT RELAY MODULE M2307,EACH,$210.00,$241.50,$345.00,S,https://amber.co.nz/abb-welcome-lift-relay-module-m2307
ABB,AB-M251021A-A,ABB 2W AUDIO MODULE M251021A-A,EACH,$255.04,$293.30,$419.00,S,https://amber.co.nz/abb-2w-audio-module-m251021a-a
ABB,AB-M251021A-W,ABB 2W AUDIO MODULE WH M251021A-W,EACH,$273.91,$315.00,$450.00,S,https://amber.co.nz/abb-2w-audio-module-wh-m251021a-w
ABB,AB-M251021C,ABB 2W CAMERA MODULE M251021C,EACH,$513.74,$590.80,$844.00,S,https://amber.co.nz/abb-2w-camera-module-m251021c
ABB,AB-M251021CR,ABB DISPLAY MOD W- ID CARD RDR M251021CR,EACH,$395.65,$455.00,$650.00,S,https://amber.co.nz/abb-display-mod-w-id-card-rdr-m251021cr
ABB,AB-M251021K-A,ABB 2W KEYPAD MODULE AL M251021K-A,EACH,$343.91,$395.50,$565.00,S,https://amber.co.nz/abb-2w-keypad-module-al-m251021k-a
ABB,AB-M251021P3,ABB 2W 3-6BTN MODULE M251021P3,EACH,$98.00,$112.70,$161.00,S,https://amber.co.nz/abb-2w-3-6btn-module-m251021p3
ABB,AB-M251021P4,ABB 2W 4-8BTN MODULE M251021P4,EACH,$101.04,$116.20,$166.00,S,https://amber.co.nz/abb-2w-4-8btn-module-m251021p4
ABB,AB-M251022A-A,ABB 2W AUDIO MODULE 1-2 BTN M251022A-A,EACH,$257.48,$296.10,$423.00,S,https://amber.co.nz/abb-2w-audio-module-1-2-btn-m251022a-a
ABB,AB-M251022CR,ABB DISPLAY MOD W- IC CARD RDR M251022CR,EACH,$423.04,$486.50,$695.00,S,https://amber.co.nz/abb-display-mod-w-ic-card-rdr-m251022cr
ABB,AB-M251023A-A,ABB 2W AUDIO MODULE 2-4 BTN M251023A-A,EACH,$259.91,$298.90,$427.00,S,https://amber.co.nz/abb-2w-audio-module-2-4-btn-m251023a-a
ABB,AB-M251024A-A,ABB 2W AUD MOD W- SPEECH SYNTH M251024A-A,EACH,$303.55,$349.08,$349.09,S,https://amber.co.nz/abb-2w-aud-mod-w-speech-synth-m251024a-a
ABB,AB-M251381A-A,ABB 2W AUDIO MODULE AL M251381A-A,EACH,$255.04,$293.30,$419.00,S,https://amber.co.nz/abb-2w-audio-module-al-m251381a-a
ABB,AB-M251381M,ABB 2W A/V MODULE M251381M,EACH,$745.65,$857.50,"$1,225.00",S,https://amber.co.nz/abb-2w-a~v-module-m251381m
ABB,AB-M251382M,ABB 2W A/V MODUL W- SPCH SYNTH M251382M,EACH,$767.57,$882.71,"$1,261.00",S,https://amber.co.nz/abb-2w-a~v-modul-w-spch-synth-m251382m
ABB,AB-M2700FP-S,ABB 2W STANDALONE FNGPRINT MOD M2700FP-S,EACH,"$1,636.17","$1,881.60","$2,688.00",S,https://amber.co.nz/abb-2w-standalone-fngprint-mod-m2700fp-s
ABB,AB-M2700KP-S,ABB 2W STANDALONE KEYPAD MOD M2700KP-S,EACH,$698.78,$803.60,"$1,148.00",S,https://amber.co.nz/abb-2w-standalone-keypad-mod-m2700kp-s
ABB,AB-M2700TP-S,ABB 2W STANDALONE TRANSPDR MOD M2700TP-S,EACH,$698.78,$803.60,"$1,148.00",S,https://amber.co.nz/abb-2w-standalone-transpdr-mod-m2700tp-s
ABB,AB-42491F,"ABB FM BOX IP TOUCH LITE 7"" 42491F",EACH,$88.87,$102.20,$146.00,S,https://amber.co.nz/abb-fm-box-ip-touch-lite-7~-42491f
ABB,AB-42491S-B,"ABB SM BOX IP TOUCH LITE 7"" BK 42491S-B",EACH,$51.13,$58.80,$84.00,S,https://amber.co.nz/abb-sm-box-ip-touch-lite-7~-bk-42491s-b
ABB,AB-42491S-W,"ABB SM BOX IP TOUCH LITE 7"" WH 42491S-W",EACH,$51.13,$58.80,$84.00,S,https://amber.co.nz/abb-sm-box-ip-touch-lite-7~-wh-42491s-w
ABB,AB-53012PS,ABB 23VDC PSU FOR IPTOUCH PNLS 53012PS YSM01-PS,EACH,$130.87,$150.50,$215.00,S,https://amber.co.nz/abb-23vdc-psu-for-iptouch-pnls-53012ps-ysm01-ps
ABB,AB-D04011,SMART ACCESS POINT PRO D04011,EACH,"$2,114.00","$2,431.10","$3,473.00",S,https://amber.co.nz/smart-access-point-pro-d04011
ABB,AB-H81313P1-A,ABB IP 1BTN MINI OD VID STN AL INC SM BOX H81313P1-A,EACH,"$1,121.22","$1,289.40","$1,842.00",S,https://amber.co.nz/abb-ip-1btn-mini-od-vid-stn-al-inc-sm-box-h81313p1-a
ABB,AB-H81363P2-A,ABB IP 2BTN MINI OD VID STN AL INC FM BOX H81363P2-A,EACH,"$3,703.91","$4,259.50","$6,085.00",S,https://amber.co.nz/abb-ip-2btn-mini-od-vid-stn-al-inc-fm-box-h81363p2-a
ABB,AB-H81381K-W,ABB IP OD VID STATION WH W- KEYPAD AND ID CARD READER H81381K-W,EACH,"$3,703.91","$4,259.50","$6,085.00",S,https://amber.co.nz/abb-ip-od-vid-station-wh-w-keypad-and-id-card-reader-h81381k-w
ABB,AB-H81381P1-W,ABB IP OD 1BTN VID STATION WH H81381P1-W,EACH,"$2,613.13","$3,005.10","$4,293.00",S,https://amber.co.nz/abb-ip-od-1btn-vid-station-wh-h81381p1-w
ABB,AB-H81381P2-W,ABB IP OD 2BTN VID STATION WH H81381P2-W,EACH,"$2,804.26","$3,224.90","$4,607.00",S,https://amber.co.nz/abb-ip-od-2btn-vid-station-wh-h81381p2-w
ABB,AB-H81381P3-W,ABB IP OD 3BTN VID STATION WH H81381P3-W,EACH,"$2,647.83","$3,045.00","$4,350.00",S,https://amber.co.nz/abb-ip-od-3btn-vid-station-wh-h81381p3-w
ABB,AB-H81381T-S,"ABB IP 5"" VID TS OD STATION SS WITH INDUCTION LOOP H81381T-S",EACH,"$5,432.00","$6,246.80","$8,924.00",S,https://amber.co.nz/abb-ip-5~-vid-ts-od-station-ss-with-induction-loop-h81381t-s
ABB,AB-H81381T-W,"ABB IP 5"" VID TS OD STATION WH H81381T-W",EACH,"$4,836.70","$5,562.21","$7,946.00",S,https://amber.co.nz/abb-ip-5~-vid-ts-od-station-wh-h81381t-w
ABB,AB-H81384K-S,"ABB IP OD VID STATION SS KPAD, IC CARD READER, INC LOOP H81384K-S",EACH,"$4,104.12","$4,719.74","$4,719.73",S,https://amber.co.nz/abb-ip-od-vid-station-ss-kpad-ic-card-reader-inc-loop-h81384k-s
ABB,AB-H8249-1B,"ABB IP TOUCH LITE 7"" BK H8249-1B",EACH,$807.13,$928.20,"$1,326.00",S,https://amber.co.nz/abb-ip-touch-lite-7~-bk-h8249-1b
ABB,AB-H8249-1W,"ABB IP TOUCH LITE 7"" WH H8249-1W",EACH,$807.13,$928.20,"$1,326.00",S,https://amber.co.nz/abb-ip-touch-lite-7~-wh-h8249-1w
ABB,AB-H8303,"ABB WELCOME IP GUARD UNIT 27VDC, 81W, 10MRDC YSM01-PS",EACH,"$2,942.84","$3,384.27","$3,384.27",S,https://amber.co.nz/abb-welcome-ip-guard-unit-27vdc-81w-10mrdc-ysm01-ps
ABB,AB-H8304,ABB IP ACTUATOR LAN PORT H8304,EACH,$532.61,$612.50,$875.00,S,https://amber.co.nz/abb-ip-actuator-lan-port-h8304
ABB,AB-H8308,ABB IP LIFT CONTROL INTERFACE H8308,EACH,$480.87,$553.00,$790.00,S,https://amber.co.nz/abb-ip-lift-control-interface-h8308
ABB,AB-H851381DP,"ABB IP 5"" OD DISPLAY MODULE H851381DP",EACH,"$2,379.39","$2,736.30","$3,909.00",S,https://amber.co.nz/abb-ip-5~-od-display-module-h851381dp
ABB,AB-H851381M-S,ABB IP OD CAMERA MODULE H851381M-S,EACH,"$1,991.04","$2,289.70","$3,271.00",S,https://amber.co.nz/abb-ip-od-camera-module-h851381m-s
ABB,AB-YSM01-PS,"ABB WELCOME IP POWER SUPPLY 27VDC, 81W, 10MRDC YSM01-PS",EACH,$422.43,$485.79,$694.00,S,https://amber.co.nz/abb-welcome-ip-power-supply-27vdc-81w-10mrdc-ysm01-ps
