Brand Text,Product Code,Description,UOM,Dealer Ex GST,Dealer Inc GST,RRP Inc GST,Indent Or Stocked 
Neutrik,NU-DSS-0,LETTERING PLATE-BLACK,EACH,2.83,3.26,4.65,S
Neutrik,NU-DSS-1,LETTERING PLATE FOR D-SERIES CONNECTORS - BROWN,EACH,2.83,3.26,4.65,S
Neutrik,NU-DSS-2,LETTERING PLATE - RED,EACH,2.83,3.26,4.65,S
Neutrik,NU-DSS-3,LETTERING PLATE - ORANGE,EACH,2.83,3.26,4.65,S
Neutrik,NU-DSS-4,LETTERING PLATE - YELLOW,EACH,2.83,3.26,4.65,S
Neutrik,NU-DSS-5,LETTERING PLATE - GREEN,EACH,2.83,3.26,4.65,S
Neutrik,NU-DSS-6,LETTERING PLATE - BLUE,EACH,2.83,3.26,4.65,S
Neutrik,NU-DSS-7,LETTERING PLATE -VIOLET,EACH,2.83,3.26,4.65,S
Neutrik,NU-DSS-8,LETTERING PLATE - GREY,EACH,2.83,3.26,4.65,S
Neutrik,NU-DSS-9,LETTERING PLATE - WHITE,EACH,2.83,3.26,4.65,S
Neutrik,NU-E-SCREW1-12NI,PT-SCREW TO SUIT NE8FDP SERIES NICKEL 100 PIECE PACK,EACH,33.48,38.5,55,I
Neutrik,NU-FI8,FEMALE INSERT,EACH,2.04,2.35,3.35,I
Neutrik,NU-FOCD-STD,FOCD-STD,EACH,395.65,455,650,I
Neutrik,NU-FOCD-STM,FOCD-STM,EACH,450.44,518,740,S
Neutrik,NU-FOCD-STQ,FOCD-STQ,EACH,395.65,455,650,S
Neutrik,NU-FOPS-SINGLE,PULLING SOCK FOR SINGLE CABLES FOR DUO / QUAD OR MTP CABLES,EACH,73.05,84,120,I
Neutrik,NU-GF1,DESK-MNTING FLANGE-FOR GN SERIES,EACH,66.96,77,110,I
Neutrik,NU-GN50,"GOOSENECK, 15MM DIA, 500MM LGTH.BLK+S/S",EACH,89.48,102.9,147,I
Neutrik,NU-GNS18,230MM GOOSENECK SET WITH CONNECTORS,EACH,86.43,99.4,142,I
Neutrik,NU-GNS36,360MM GOOSENECK SET WITH CONNECTORS,EACH,103.48,119,170,I
Neutrik,NU-HA-3FXX,Replacement crimp contact for NC3FXX-HA cable connector,P050,25.56,29.4,42,I
Neutrik,NU-HA-3MXX,Replacement crimp contact for NC3MXX-HA cable connector,P050,15.22,17.5,25,I
Neutrik,NU-HTAC,HAND TOOL FOR TIGHTENING powerCon True1 Bushing (NAC3FX-W & NAC3MX-W),EACH,26.17,30.1,43,S
Neutrik,NU-HTFAC,Hand tool for tightening bush on NL4FC & powerCON 20a,EACH,26.78,30.8,44,S
Neutrik,NU-HTLACA,"Hand tool A for tightening bushing powerCON TRUE1 TOP, FXX and speakON FXX series",EACH,133.91,154,220,S
Neutrik,NU-HTLACB,"Hand tool B for tightening bushing powerCON TRUE1 TOP, FXX and speakON FXX series",EACH,158.26,182,260,S
Neutrik,NU-HTX,Hand tool for tightening NE8MX series etherCON,EACH,152.17,175,250,S
Neutrik,NU-HTXP,HAND TOOL FOR TIGHTENING XX-SERIES BOOTS,EACH,140,161,230,S
Neutrik,NU-HTXX-14,"Hand tool for tightening of XX-14 series, jumboPLUG and ethercon CAT6A series",EACH,140,161,230,S
Neutrik,NU-HX-CAT6A,PARALLEL PRESS TOOL FOR etherCON CAT6A,EACH,243.48,280,400,S
Neutrik,NU-HX-R-BNC,STANDARD CRIMP TOOL WITHOUT DIES,EACH,353.04,406,580,S
Neutrik,NU-ITX-TOP,Cable insertion tool for X-TOP boot,EACH,0.7,0.81,1.15,S
Neutrik,NU-KM,HOUSING MODULE-LONG,EACH,10.71,12.32,17.6,I
Neutrik,NU-LRX,RIGHT ANGLE KIT FOR NL4FX BLUE CODING RING,EACH,4.02,4.62,6.6,I
Neutrik,NU-MC8,MATING CABLE CONNECTOR HOUSING (180'),EACH,5.36,6.16,8.8,I
Neutrik,NU-MFD,M3 MOUNTING FRAME FOR D-SIZE CHASSIS,EACH,1.4,1.61,2.3,S
Neutrik,NU-MRF12,ASSEMBLED FEMALE RECPTL.:12X SOLDER CONT,EACH,29.83,34.3,49,I
Neutrik,NU-MSCM12,MINICON MALE LINE CONNECTORS 12 x SOLDER CONTACTS,EACH,22.52,25.9,37,I
Neutrik,NU-MSG,Mounting Bolt to Mount the GN Goosenecks directly on the table M17x1 30mm Length,EACH,13.39,15.4,22,I
Neutrik,NU-NA-2I-DLINE,Neutrik Dante interface 2 in,EACH,657.39,756,1080,S
Neutrik,NU-NA-2I2O-DLINE,Neutrik Dante interface 2 in / 2 out,EACH,693.91,798,1140,I
Neutrik,NU-NA-2O-DLINE,Neutrik Dante interface 2 out,EACH,657.39,756,1080,S
Neutrik,NU-NA-4I4O-AES72,Neutrik 4 channel CAT cable stagebox,EACH,444.35,511,730,S
Neutrik,NU-NA-HOUSING,D-SIZE EXTRUSION - BLACK SET OF 2 HALVES + 4 SCREWS,EACH,22.52,25.9,37,S
Neutrik,NU-NA-MB-KIT,DANTE interface bracket set,EACH,85.22,98,140,I
Neutrik,NU-NA2F-D0B-TX,FEMALE XLR/RCA IMP MATCHER 1:1 200/200 - BLACK,EACH,66.96,77,110,S
Neutrik,NU-NA2F-D2B-TX,FEMALE XLR/RCA IMP MATCHER 1:1 200/200 - RED,EACH,66.96,77,110,S
Neutrik,NU-NA2F-J-TX,FEMALE XLR/JACK IMP MATCHER 1:1 200/200,EACH,59.65,68.6,98,S
Neutrik,NU-NA2FBNC,CONN. XLR FEMALE TO BNC SOCKET,EACH,26.78,30.8,44,S
Neutrik,NU-NA2FP,XLR FEMALE TO MONO 6.5MM PLUG,EACH,24.35,28,40,S
Neutrik,NU-NA2FPMF,XLR FEMALE TO FEMALE PHONO RCA JACK,EACH,22.52,25.9,37,S
Neutrik,NU-NA2FPMM,FEMALE TO MALE RCA PHONO PLUG,EACH,22.52,25.9,37,S
Neutrik,NU-NA2M-D0B-TX,MALE XLR/RCA IMP MATCHER 1:1 200/200 - BLACK,EACH,66.96,77,110,S
Neutrik,NU-NA2M-D2B-TX,MALE XLR/RCA IMP MATCHER 1:1 200/200 - RED,EACH,66.96,77,110,S
Neutrik,NU-NA2M-J-TX,MALE XLR/JACK IMP MATCHER 1:1 200/200,EACH,59.04,67.9,97,S
