Manufacturer,Part Number,Short Description,Unit of Measure,NZD MSRP,Dealer's Cost Column 1,Description of Cost for Column 1,Column1,Column2,Column3,Column4,Column5,Column6,Column7,UL/ETL Listed,Currency,DIM Weight,Weight Unit of Measure,SKU/UPC,Model Name,Long Description,Other Description,Serialized Item,Not Available for Sale,Item Status,Manufacturer's Category,Replacement Item Part Number,Replacement Item Model Name,Required Accessories,Optional Accessories,MAP (Minimum Advertised Price),GSA Cost Price,GSA Sell Price,Discount-Off List,Freight Policy,FOB/Ex-works,Freight Class,Drop Ship Y/N?,U.S Energy Star Y/N?,TAA Compliant Y/N?,Certificate of Origin,URL/Link,Manufacturer's Division,InfoComm iQ Category,InfoComm Member Number,Notes,,,
Biamp Systems,424.0179.900,CC-75-W,EA,267,160,NZD MSRP - 40%,,,,,,,,N,NZD,0.680388,Kg,,CC-75-W,75' Plenum Rated Cables - White,Cabling,n,n,Current,Cambridge,,,,,267,,,,,PO,Standard Freight,n,n,Y,Mexico,https://www.biamp.com,Cambridge,,4911,Contact Biamp for custom length and color cables,,,
Biamp Systems,424.0180.900,CC-AE-400-PC,EA,1797,1078,NZD MSRP - 40%,,,,,,,,N,NZD,20.41164,Kg,,CC-AE-400-PC,"14 AWG cable, 2 Conductor, plenum rated. 400 foot spool.",Cabling,n,n,Current,Cambridge,,,,,1797,,,,,PO,Standard Freight,n,n,y,USA,https://www.biamp.com,Cambridge,,4911,Contact Biamp for custom length and color cables,,,
Biamp Systems,424.0181.900,CC-BMC,EA,90,54,NZD MSRP - 40%,,,,,,,,N,NZD,0.113398,Kg,,CC-BMC,Bridge Mode Cable for Standard Emitters [for Qt 300/600] ,Cabling,n,n,Current,Cambridge,,,,,90,,,,,PO,Standard Freight,n,n,N,China,https://www.biamp.com,Cambridge,,4911,Contact Biamp for custom length and color cables,,,
Biamp Systems,911.0873.900,CCEA,EA,10,6,NZD MSRP - 40%,,,,,,,,N,NZD,0.226796,Kg,,CCEA,Chicago compliance kit compatible with DS1338 & DS1356,Sound Masking Accessories,n,n,Current,Cambridge,,,,,10,,,,,PO,Standard Freight,n,n,N,China / USA,https://www.biamp.com,Cambridge,,4911,,,,
Biamp Systems,911.0874.900,CCEA-98,EA,10,6,NZD MSRP - 40%,,,,,,,,N,NZD,0.226796,Kg,,CCEA-98,Chicago compliance kit compatible with DS1398 & DS1390,Sound Masking Accessories,n,n,Current,Cambridge,,,,,10,,,,,PO,Standard Freight,n,n,N,China / USA,https://www.biamp.com,Cambridge,,4911,,,,
Biamp Systems,911.0695.900,CCM-1,EA,810,486,NZD MSRP - 40%,,,,,,,,N,NZD,TBD,Kg,,CCM-1,4-pack of ceiling conduit mounts for Qt emitters,Mounts/Brackets,n,n,Current,Cambridge,,,,,810,,,,,PO,Standard Freight,n,n,N,China,https://www.biamp.com,Cambridge,,4911,,,,
Biamp Systems,368.0302.900,DM,EA,27,16,NZD MSRP - 40%,,,,,,,,N,NZD,0.113398,Kg,,DM,Plastic drywall mount for all Qt Emitters [does not include hole saw],Mounts/Brackets,n,n,Current,Cambridge,,,,,27,,,,,PO,Standard Freight,n,n,y,USA,https://www.biamp.com,Cambridge,,4911,,,,
Biamp Systems,520.0017.900,DRB-1,EA,53,32,NZD MSRP - 40%,,,,,,,,N,NZD,0.113398,Kg,,DRB-1,Drywall rough-in bracket,Mounts/Brackets,n,n,Current,Cambridge,,,,,53,,,,,PO,Standard Freight,n,n,N,China,https://www.biamp.com,Cambridge,,4911,,,,
Biamp Systems,911.0875.900,DRB-1 KIT,EA,80,48,NZD MSRP - 40%,,,,,,,,N,NZD,0.226796,Kg,,DRB-1 KIT,Drywall rough-in bracket with plastic drywall mount (DM) included ,Mounts/Brackets,n,n,Current,Cambridge,,,,,80,,,,,PO,Standard Freight,n,n,N,China / USA,https://www.biamp.com,Cambridge,,4911,,,,
Biamp Systems,911.0833.900,DS11x12,EA,360,216,NZD MSRP - 40%,,,,,,,,N,NZD,1,Kg,,DS11x12,Amplifier Shelf,Sound Masking Accessories,y,n,Current,Cambridge,,,,,360,,,,,PO,Standard Freight,n,n,y,USA,https://www.biamp.com,Cambridge,,4911,,,,
Biamp Systems,911.0806.900,DS1320-B-4,EA,1010,606,NZD MSRP - 40%,,,,,,,,N,NZD,0.340194,Kg,,DS1320-B-4,"Active Emitter, Black - 4 Pack for use with 8 ohm Qt X output. Cables not included",Emitters,y,n,Current,Cambridge,,,,,1010,,,,,PO,Standard Freight,n,n,N,China,https://www.biamp.com,Cambridge,,4911,,,,
Biamp Systems,911.0807.900,DS1320-W-4,EA,1010,606,NZD MSRP - 40%,,,,,,,,N,NZD,0.283495,Kg,,DS1320-W-4,"Active Emitter, White - 4 Pack for use with 8 ohm Qt X output. Cables not included",Emitters,y,n,Current,Cambridge,,,,,1010,,,,,PO,Standard Freight,n,n,N,China,https://www.biamp.com,Cambridge,,4911,,,,
